Karl-Heinz FLORENZ,DE,Allemagne,PPE,pro
Michael GAHLER,DE,Allemagne,PPE,pro
Kinga GÁL,HU,Hongrie,PPE,pro
Francesc GAMBÚS,ES,Espagne,PPE,pro
Elisabetta GARDINI,IT,Italie,PPE,pro
Stefan GEHROLD,DE,Allemagne,PPE,pro
Jens GIESEKE,DE,Allemagne,PPE,pro
Julie GIRLING,GB,Royaume-Uni,PPE,pro
Esteban GONZÁLEZ PONS,ES,Espagne,PPE,pro
Luis de GRANDES PASCUAL,ES,Espagne,PPE,pro
Ingeborg GRÄSSLE,DE,Allemagne,PPE,pro
Françoise GROSSETÊTE,FR,France,PPE,pro
Antanas GUOGA,LT,Lituanie,PPE,pro
Brian HAYES,IE,Irlande,PPE,pro
Esther HERRANZ GARCÍA,ES,Espagne,PPE,pro
Monika HOHLMEIER,DE,Allemagne,PPE,pro
György HÖLVÉNYI,HU,Hongrie,PPE,pro
Brice HORTEFEUX,FR,France,PPE,pro
Danuta Maria HÜBNER,PL,Pologne,PPE,pro
Carlos ITURGAIZ,ES,Espagne,PPE,pro
Peter JAHR,DE,Allemagne,PPE,pro
Teresa JIMÉNEZ-BECERRIL BARRIO,ES,Espagne,PPE,pro
Marc JOULAUD,FR,France,PPE,pro
Philippe JUVIN,FR,France,PPE,pro
Sandra KALNIETE,LV,Lettonie,PPE,pro
Othmar KARAS,AT,Autriche,PPE,pro
Tunne KELAM,EE,Estonie,PPE,pro
Seán KELLY,IE,Irlande,PPE,pro
Dieter-Lebrecht KOCH,DE,Allemagne,PPE,pro
Ádám KÓSA,HU,Hongrie,PPE,pro
Agnieszka KOZŁOWSKA-RAJEWICZ,PL,Pologne,PPE,pro
Barbara KUDRYCKA,PL,Pologne,PPE,pro
Werner KUHN,DE,Allemagne,PPE,pro
Eduard KUKAN,SK,Slovaquie,PPE,pro
Alain LAMASSOURE,FR,France,PPE,pro
Esther de LANGE,NL,Pays-Bas,PPE,pro
Werner LANGEN,DE,Allemagne,PPE,pro
Giovanni LA VIA,IT,Italie,PPE,pro
Jérôme LAVRILLEUX,FR,France,PPE,pro
Jeroen LENAERS,NL,Pays-Bas,PPE,pro
Peter LIESE,DE,Allemagne,PPE,pro
Norbert LINS,DE,Allemagne,PPE,pro
Antonio LÓPEZ-ISTÚRIZ WHITE,ES,Espagne,PPE,pro
David McALLISTER,DE,Allemagne,PPE,pro
Mairead McGUINNESS,IE,Irlande,PPE,pro
Ivana MALETIĆ,HR,Croatie,PPE,pro
Svetoslav Hristov MALINOV,BG,Bulgarie,PPE,pro
Lukas MANDL,AT,Autriche,PPE,pro
Ramona Nicole MĂNESCU,RO,Roumanie,PPE,pro
Thomas MANN,DE,Allemagne,PPE,pro
Fulvio MARTUSCIELLO,IT,Italie,PPE,pro
Barbara MATERA,IT,Italie,PPE,pro
Gabriel MATO,ES,Espagne,PPE,pro
Nuno MELO,PT,Portugal,PPE,pro
Miroslav MIKOLÁŠIK,SK,Slovaquie,PPE,pro
Francisco José MILLÁN MON,ES,Espagne,PPE,pro
Sorin MOISĂ,RO,Roumanie,PPE,pro
Cláudia MONTEIRO DE AGUIAR,PT,Portugal,PPE,pro
Nadine MORANO,FR,France,PPE,pro
Elisabeth MORIN-CHARTIER,FR,France,PPE,pro
Renaud MUSELIER,FR,France,PPE,pro
Alessandra MUSSOLINI,IT,Italie,PPE,pro
József NAGY,SK,Slovaquie,PPE,pro
Angelika NIEBLER,DE,Allemagne,PPE,pro
Lambert van NISTELROOIJ,NL,Pays-Bas,PPE,pro
Alojz PETERLE,SI,Slovénie,PPE,pro
Marijana PETIR,HR,Croatie,PPE,pro
Markus PIEPER,DE,Allemagne,PPE,pro
Julia PITERA,PL,Pologne,PPE,pro
Marek PLURA,PL,Pologne,PPE,pro
Cristian Dan PREDA,RO,Roumanie,PPE,pro
Franck PROUST,FR,France,PPE,pro
Godelieve QUISTHOUDT-ROWOHL,DE,Allemagne,PPE,pro
Emil RADEV,BG,Bulgarie,PPE,pro
Dennis RADTKE,DE,Allemagne,PPE,pro
Paulo RANGEL,PT,Portugal,PPE,pro
Sofia RIBEIRO,PT,Portugal,PPE,pro
Claude ROLIN,BE,Belgique,PPE,pro
Fernando RUAS,PT,Portugal,PPE,pro
Paul RÜBIG,AT,Autriche,PPE,pro
Kārlis ŠADURSKIS,LV,Lettonie,PPE,pro
Tokia SAÏFI,FR,France,PPE,pro
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,ES,Espagne,PPE,pro
Massimiliano SALINI,IT,Italie,PPE,pro
Anne SANDER,FR,France,PPE,pro
Petri SARVAMAA,FI,Finlande,PPE,pro
Algirdas SAUDARGAS,LT,Lituanie,PPE,pro
Claudia SCHMIDT,AT,Autriche,PPE,pro
Annie SCHREIJER-PIERIK,NL,Pays-Bas,PPE,pro
Sven SCHULZE,DE,Allemagne,PPE,pro
Andreas SCHWAB,DE,Allemagne,PPE,pro
Csaba SÓGOR,RO,Roumanie,PPE,pro
Michaela ŠOJDROVÁ,CZ,Tchéquie,PPE,pro
Renate SOMMER,DE,Allemagne,PPE,pro
Maria SPYRAKI,GR,Grèce,PPE,pro
Ivan ŠTEFANEC,SK,Slovaquie,PPE,pro
Dubravka ŠUICA,HR,Croatie,PPE,pro
Pavel SVOBODA,CZ,Tchéquie,PPE,pro
József SZÁJER,HU,Hongrie,PPE,pro
László TŐKÉS,HU,Hongrie,PPE,pro
Inese VAIDERE,LV,Lettonie,PPE,pro
Ramón Luis VALCÁRCEL SISO,ES,Espagne,PPE,pro
Tom VANDENKENDELAERE,BE,Belgique,PPE,pro
Sabine VERHEYEN,DE,Allemagne,PPE,pro
Henna VIRKKUNEN,FI,Finlande,PPE,pro
Axel VOSS,DE,Allemagne,PPE,pro
Manfred WEBER,DE,Allemagne,PPE,pro
Rainer WIELAND,DE,Allemagne,PPE,pro
Francis ZAMMIT DIMECH,MT,Malte,PPE,pro
Bogdan Andrzej ZDROJEWSKI,PL,Pologne,PPE,pro
Joachim ZELLER,DE,Allemagne,PPE,pro
Željana ZOVKO,HR,Croatie,PPE,pro
Tadeusz ZWIEFKA,PL,Pologne,PPE,pro
Clara Eugenia AGUILERA GARCÍA,ES,Espagne,S&D,pro
Lucy ANDERSON,GB,Royaume-Uni,S&D,pro
Eric ANDRIEU,FR,France,S&D,pro
Maria ARENA,BE,Belgique,S&D,pro
Francisco ASSIS,PT,Portugal,S&D,pro
Inés AYALA SENDER,ES,Espagne,S&D,pro
Guillaume BALAS,FR,France,S&D,pro
Hugues BAYET,BE,Belgique,S&D,pro
Pervenche BERÈS,FR,France,S&D,pro
Goffredo Maria BETTINI,IT,Italie,S&D,pro
José BLANCO LÓPEZ,ES,Espagne,S&D,pro
Vilija BLINKEVIČIŪTĖ,LT,Lituanie,S&D,pro
Simona BONAFÈ,IT,Italie,S&D,pro
Biljana BORZAN,HR,Croatie,S&D,pro
Victor BOŞTINARU,RO,Roumanie,S&D,pro
Paul BRANNEN,GB,Royaume-Uni,S&D,pro
Mercedes BRESSO,IT,Italie,S&D,pro
Soledad CABEZÓN RUIZ,ES,Espagne,S&D,pro
Nicola CAPUTO,IT,Italie,S&D,pro
Caterina CHINNICI,IT,Italie,S&D,pro
Ole CHRISTENSEN,DK,Danemark,S&D,pro
Silvia COSTA,IT,Italie,S&D,pro
Andrea COZZOLINO,IT,Italie,S&D,pro
Miriam DALLI,MT,Malte,S&D,pro
Seb DANCE,GB,Royaume-Uni,S&D,pro
Nicola DANTI,IT,Italie,S&D,pro
Paolo DE CASTRO,IT,Italie,S&D,pro
Isabella DE MONTE,IT,Italie,S&D,pro
Damian DRĂGHICI,RO,Roumanie,S&D,pro
Jonás FERNÁNDEZ,ES,Espagne,S&D,pro
Giuseppe FERRANDINO,IT,Italie,S&D,pro
Iratxe GARCÍA PÉREZ,ES,Espagne,S&D,pro
Eider GARDIAZABAL RUBIAL,ES,Espagne,S&D,pro
Enrico GASBARRA,IT,Italie,S&D,pro
Elena GENTILE,IT,Italie,S&D,pro
Neena GILL,GB,Royaume-Uni,S&D,pro
Michela GIUFFRIDA,IT,Italie,S&D,pro
Karine GLOANEC MAURIN,FR,France,S&D,pro
Giorgos GRAMMATIKAKIS,GR,Grèce,S&D,pro
Maria GRAPINI,RO,Roumanie,S&D,pro
Theresa GRIFFIN,GB,Royaume-Uni,S&D,pro
Roberto GUALTIERI,IT,Italie,S&D,pro
Enrique GUERRERO SALOM,ES,Espagne,S&D,pro
Sylvie GUILLAUME,FR,France,S&D,pro
Jytte GUTELAND,SE,Suède,S&D,pro
Mary HONEYBALL,GB,Royaume-Uni,S&D,pro
John HOWARTH,GB,Royaume-Uni,S&D,pro
Liisa JAAKONSAARI,FI,Finlande,S&D,pro
Ramón JÁUREGUI ATONDO,ES,Espagne,S&D,pro
Jude KIRTON-DARLING,GB,Royaume-Uni,S&D,pro
Jeppe KOFOD,DK,Danemark,S&D,pro
Peter KOUROUMBASHEV,BG,Bulgarie,S&D,pro
Miapetra KUMPULA-NATRI,FI,Finlande,S&D,pro
Cécile Kashetu KYENGE,IT,Italie,S&D,pro
Miltiadis KYRKOS,GR,Grèce,S&D,pro
Juan Fernando LÓPEZ AGUILAR,ES,Espagne,S&D,pro
Olle LUDVIGSSON,SE,Suède,S&D,pro
Linda McAVAN,GB,Royaume-Uni,S&D,pro
Vladimír MAŇKA,SK,Slovaquie,S&D,pro
