Rosa D'AMATO,IT,Italie,EFDD,pro
William (The Earl of) DARTMOUTH,GB,Royaume-Uni,EFDD,pro
Bill ETHERIDGE,GB,Royaume-Uni,EFDD,pro
Eleonora EVI,IT,Italie,EFDD,pro
Laura FERRARA,IT,Italie,EFDD,pro
Nathan GILL,GB,Royaume-Uni,EFDD,pro
Robert Jarosław IWASZKIEWICZ,PL,Pologne,EFDD,pro
Jörg MEUTHEN,DE,Allemagne,EFDD,pro
Patrick O'FLYNN,GB,Royaume-Uni,EFDD,pro
Jiří PAYNE,CZ,Tchéquie,EFDD,pro
Piernicola PEDICINI,IT,Italie,EFDD,pro
Julia REID,GB,Royaume-Uni,EFDD,pro
Jill SEYMOUR,GB,Royaume-Uni,EFDD,pro
Dario TAMBURRANO,IT,Italie,EFDD,pro
Marco VALLI,IT,Italie,EFDD,pro
Marco ZULLO,IT,Italie,EFDD,pro
John Stuart AGNEW,GB,Royaume-Uni,ENF,pro
Gerard BATTEN,GB,Royaume-Uni,ENF,pro
Mara BIZZOTTO,IT,Italie,ENF,pro
Mario BORGHEZIO,IT,Italie,ENF,pro
Angelo CIOCCA,IT,Italie,ENF,pro
Michał MARUSIK,PL,Pologne,ENF,pro
Georg MAYER,AT,Autriche,ENF,pro
Franz OBERMAYR,AT,Autriche,ENF,pro
Marcus PRETZELL,DE,Allemagne,ENF,pro
Giancarlo SCOTTÀ,IT,Italie,ENF,pro
Harald VILIMSKY,AT,Autriche,ENF,pro
Marco ZANNI,IT,Italie,ENF,pro
Stanisław ŻÓŁTEK,PL,Pologne,ENF,pro
Marina ALBIOL GUZMÁN,ES,Espagne,GUE/NGL,pro
Martina ANDERSON,GB,Royaume-Uni,GUE/NGL,pro
Xabier BENITO ZILUAGA,ES,Espagne,GUE/NGL,pro
Malin BJÖRK,SE,Suède,GUE/NGL,pro
Lynn BOYLAN,IE,Irlande,GUE/NGL,pro
Matt CARTHY,IE,Irlande,GUE/NGL,pro
Nikolaos CHOUNTIS,GR,Grèce,GUE/NGL,pro
Kostas CHRYSOGONOS,GR,Grèce,GUE/NGL,pro
Javier COUSO PERMUY,ES,Espagne,GUE/NGL,pro
Stefan ECK,DE,Allemagne,GUE/NGL,pro
Cornelia ERNST,DE,Allemagne,GUE/NGL,pro
João FERREIRA,PT,Portugal,GUE/NGL,pro
Luke Ming FLANAGAN,IE,Irlande,GUE/NGL,pro
Eleonora FORENZA,IT,Italie,GUE/NGL,pro
Tania GONZÁLEZ PEÑAS,ES,Espagne,GUE/NGL,pro
Takis HADJIGEORGIOU,CY,Chypre,GUE/NGL,pro
Thomas HÄNDEL,DE,Allemagne,GUE/NGL,pro
Anja HAZEKAMP,NL,Pays-Bas,GUE/NGL,pro
Dennis de JONG,NL,Pays-Bas,GUE/NGL,pro
Rina Ronja KARI,DK,Danemark,GUE/NGL,pro
Jaromír KOHLÍČEK,CZ,Tchéquie,GUE/NGL,pro
Kateřina KONEČNÁ,CZ,Tchéquie,GUE/NGL,pro
Merja KYLLÖNEN,FI,Finlande,GUE/NGL,pro
Paloma LÓPEZ BERMEJO,ES,Espagne,GUE/NGL,pro
Sabine LÖSING,DE,Allemagne,GUE/NGL,pro
Jiří MAŠTÁLKA,CZ,Tchéquie,GUE/NGL,pro
Marisa MATIAS,PT,Portugal,GUE/NGL,pro
Martina MICHELS,DE,Allemagne,GUE/NGL,pro
Anne-Marie MINEUR,NL,Pays-Bas,GUE/NGL,pro
Younous OMARJEE,FR,France,GUE/NGL,pro
João PIMENTA LOPES,PT,Portugal,GUE/NGL,pro
Sofia SAKORAFA,GR,Grèce,GUE/NGL,pro
Lola SÁNCHEZ CALDENTEY,ES,Espagne,GUE/NGL,pro
Martin SCHIRDEWAN,DE,Allemagne,GUE/NGL,pro
Helmut SCHOLZ,DE,Allemagne,GUE/NGL,pro
Maria Lidia SENRA RODRÍGUEZ,ES,Espagne,GUE/NGL,pro
Barbara SPINELLI,IT,Italie,GUE/NGL,pro
Miguel URBÁN CRESPO,ES,Espagne,GUE/NGL,pro
Marie-Christine VERGIAT,FR,France,GUE/NGL,pro
Miguel VIEGAS,PT,Portugal,GUE/NGL,pro
Gabriele ZIMMER,DE,Allemagne,GUE/NGL,pro
Zoltán BALCZÓ,HU,Hongrie,NI,pro
David BORRELLI,IT,Italie,NI,pro
Diane DODDS,GB,Royaume-Uni,NI,pro
Georgios EPITIDEIOS,GR,Grèce,NI,pro
Lampros FOUNTOULIS,GR,Grèce,NI,pro
Bruno GOLLNISCH,FR,France,NI,pro
Rikke-Louise KARLSSON,DK,Danemark,NI,pro
Demetris PAPADAKIS,CY,Chypre,NI,pro
Jacek SARYUSZ-WOLSKI,PL,Pologne,NI,pro
Martin SONNEBORN,DE,Allemagne,NI,pro
Dobromir SOŚNIERZ,PL,Pologne,NI,pro
Eleftherios SYNADINOS,GR,Grèce,NI,pro
Steven WOOLFE,GB,Royaume-Uni,NI,pro
Pascal ARIMONT,BE,Belgique,PPE,pro
Georges BACH,LU,Luxembourg,PPE,pro
Michał BONI,PL,Pologne,PPE,pro
Herbert DORFMANN,IT,Italie,PPE,pro
Frank ENGEL,LU,Luxembourg,PPE,pro
Christofer FJELLNER,SE,Suède,PPE,pro
Andrzej GRZYB,PL,Pologne,PPE,pro
Christophe HANSEN,LU,Luxembourg,PPE,pro
Krzysztof HETMAN,PL,Pologne,PPE,pro
Gunnar HÖKMARK,SE,Suède,PPE,pro
Danuta Maria HÜBNER,PL,Pologne,PPE,pro
Danuta JAZŁOWIECKA,PL,Pologne,PPE,pro
Jarosław KALINOWSKI,PL,Pologne,PPE,pro
Agnieszka KOZŁOWSKA-RAJEWICZ,PL,Pologne,PPE,pro
Janusz LEWANDOWSKI,PL,Pologne,PPE,pro
Svetoslav Hristov MALINOV,BG,Bulgarie,PPE,pro
Thomas MANN,DE,Allemagne,PPE,pro
Eva MAYDELL,BG,Bulgarie,PPE,pro
József NAGY,SK,Slovaquie,PPE,pro
Luděk NIEDERMAYER,CZ,Tchéquie,PPE,pro
Jan OLBRYCHT,PL,Pologne,PPE,pro
Sirpa PIETIKÄINEN,FI,Finlande,PPE,pro
Marek PLURA,PL,Pologne,PPE,pro
Stanislav POLČÁK,CZ,Tchéquie,PPE,pro
Jiří POSPÍŠIL,CZ,Tchéquie,PPE,pro
Anders SELLSTRÖM,SE,Suède,PPE,pro
Czesław Adam SIEKIERSKI,PL,Pologne,PPE,pro
Maria SPYRAKI,GR,Grèce,PPE,pro
Jaromír ŠTĚTINA,CZ,Tchéquie,PPE,pro
Theodor Dumitru STOLOJAN,RO,Roumanie,PPE,pro
Adam SZEJNFELD,PL,Pologne,PPE,pro
Róża Gräfin von THUN UND HOHENSTEIN,PL,Pologne,PPE,pro
Traian UNGUREANU,RO,Roumanie,PPE,pro
